Species	Cell	Time	State	Plate	Well	Experiment	Dish	Volume	260/280	Nanodrop	QuBit	RNA.Vol	H2O.Vol
Human	A	48	TRS	1	A1	2	6	20	1.68	82.1	86	1.74 	28.26 
Human	A	48	URS	1	A2	2	7	20	1.67	52.3	73	2.05 	27.95 
Human	A	48	TRS+URS	1	A3	2	8	20	1.6	57.4	64	2.34 	27.66 
Human	A	48	CTRL-EtOH	1	A4	3	5	20	1.56	55.6	85	1.76 	28.24 
Human	A	48	TRS	1	A5	3	6	20	1.44	19.7	70	2.14 	27.86 
Human	A	48	URS	1	A6	3	7	20	1.45	21.8	25	6.00 	24.00 
Human	A	48	TRS+URS	1	A7	3	8	20	1.52	26.6	38.5	3.90 	26.10 
Human	A	48	CTRL	1	A8	4	1	30	1.61	70.4	87.4	1.72 	28.28 
Human	A	48	CTRL	1	A9	4	2	30	1.32	21.3	34	4.41 	25.59 
Human	A	48	CTRL	1	A10	4	3	30	1.61	75.5	92	1.63 	28.37 
Human	A	48	TRS	1	A11	4	4	30	1.71	148.9	184	0.82 	29.18 
Human	A	48	URS	1	A12	4	5	30	1.69	94.1	118	1.27 	28.73 
Human	A	48	TRS+URS	1	B1	4	6	30	1.66	113	135	1.11 	28.89 
Human	A	48	LOP	1	B2	4	8	30	1.65	93.8	107	1.40 	28.60 
Human	A	48	LOP	1	B3	4	9	20	1.78	209.2	282	0.53 	29.47 
Human	A	48	TRS+LOP	1	B4	4	10	20	1.77	136.3	142	1.06 	28.94 
Human	A	48	TRS+LOP	1	B5	4	11	20	1.78	204.7	268	0.56 	29.44 
Human	A	48	TRS+LOP	1	B6	4	12	20	1.79	205.3	284	0.53 	29.47 
Human	A	48	DOM	1	B7	4	13	20	1.76	177.6	238	0.63 	29.37 
Human	A	48	DOM	1	B8	4	14	20	1.67	41.1	58.4	2.57 	27.43 
Human	A	48	TRS+DOM	1	B9	4	15	20	1.81	216.2	46.4	3.23 	26.77 
Human	A	48	TRS+DOM	1	B10	4	16	20	1.79	205.7	238	0.63 	29.37 
Human	A	48	CTRL-DMSO	1	B11	5	1	30	1.76	168	183	0.82 	29.18 
Human	A	48	CTRL-DMSO	1	B12	5	2	30	1.76	125	162	0.93 	29.07 
Human	A	48	CTRL-EtOH	1	C1	5	3	30	1.79	169.2	274	0.55 	29.45 
Human	A	48	SOR	1	C2	5	6	20	1.4	11.6	6.1	18.00 	3.96 
Human	A	48	SOR+URS	1	C3	5	7	20	1.39	22.8	27.4	5.47 	24.53 
Human	A	48	SOR+URS	1	C4	5	8	20	1.41	14.8	16.8	8.93 	21.07 
Human	A	48	SOR+URS	1	C5	5	9	20	1.35	14.6	15.2	9.87 	20.13 
Human	A	48	TRS	1	C6	5	10	30	1.77	135.6	160	0.94 	29.06 
Human	A	48	DOM	1	C7	5	11	30	1.77	165.1	202	0.74 	29.26 
Human	A	48	TRS+DOM	1	C8	5	12	30	1.79	147.1	184	0.82 	29.18 
Human	A	48	CTRL-DMSO	1	C9	6	1	30	1.78	196.3	214	0.70 	29.30 
Human	A	48	CTRL-DMSO	1	C10	6	2	30	1.73	95.6	98.8	1.52 	28.48 
Human	A	48	CTRL-DMSO	1	C11	6	3	30	1.82	173.5	160	0.94 	29.06 
Human	A	48	SOR	1	C12	6	5	20	1.61	38.5	45.4	3.30 	26.70 
Human	A	48	SOR	1	D1	6	6	20	1.65	34.5	21.4	7.01 	22.99 
Human	A	48	SUN	1	D2	6	7	30	1.83	131	179	0.84 	29.16 
Human	A	48	SUN	1	D3	6	8	30	1.81	171.3	206	0.73 	29.27 
Human	A	48	SUN	1	D4	6	9	30	1.71	77	91.4	1.64 	28.36 
Human	A	48	ENT	1	D5	6	10	30	1.84	140.5	176	0.85 	29.15 
Human	A	48	ENT	1	D6	6	11	30	1.87	157.5	226	0.66 	29.34 
Human	A	48	ENT	1	D7	6	12	30	1.88	163.5	204	0.74 	29.26 
Human	A	48	SOR+URS	1	D8	6	15	20	1.6	21.9	29.2	5.14 	24.86 
Human	A	48	SUN+URS	1	D9	6	19	30	1.92	173.5	156	0.96 	29.04 
Human	A	48	SUN+URS	1	D10	6	20	30	1.83	160.7	206	0.73 	29.27 
Human	A	48	SUN+URS	1	D11	6	21	30	1.71	66.2	82.8	1.81 	28.19 
Human	A	48	SUN+DOM	1	D12	6	22	30	1.82	152.5	184	0.82 	29.18 
Human	A	48	SUN+DOM	1	E1	6	23	30	1.81	157.2	204	0.74 	29.26 
Human	A	48	SUN+DOM	1	E2	6	24	30	1.82	159.3	184	0.82 	29.18 
Human	A	48	CTRL-DMSO	1	E3	7	1	30	1.7	70	81.4	1.84 	28.16 
Human	A	48	CTRL-DMSO	1	E4	7	2	30	1.73	80	107	1.40 	28.60 
Human	A	48	SOR	1	E5	7	3	20	1.55	84	74.6	2.01 	27.99 
Human	A	48	SOR	1	E6	7	4	20	1.52	61.7	63.4	2.37 	27.63 
Human	A	48	SOR+URS	1	E7	7	5	20	1.74	168.4	230	0.65 	29.35 
Human	A	48	SOR+URS	1	E8	7	6	20	1.72	142.1	121	1.24 	28.76 
Human	A	48	SOR+ENT	1	E9	7	7	20	1.66	109	69.4	2.16 	27.84 
Human	A	48	SOR+ENT	1	E10	7	8	20	1.5	10.5	15	10.00 	20.00 
Human	A	48	DTP	1	E11	7	9	20	1.79	288.7	195	0.77 	29.23 
Human	A	48	DTP	1	E12	7	10	20	1.82	266.6	306	0.49 	29.51 
Human	A	48	SOR+DTP	1	F1	7	11	20	1.67	102.4	128	1.17 	28.83 
Human	A	48	SOR+DTP	1	F2	7	12	20	1.6	68.2	88.6	1.69 	28.31 
Human	A	48	SUN	1	F3	7	13	30	1.85	178.3	204	0.74 	29.26 
Human	A	48	SUN	1	F4	7	14	30	1.83	184	190	0.79 	29.21 
Human	A	48	SUN+LOP	1	F5	7	15	30	1.85	187.3	185	0.81 	29.19 
Human	A	48	SUN+LOP	1	F6	7	16	30	1.85	163	186	0.81 	29.19 
Human	A	48	ALE	1	F7	7	17	30	1.84	187.6	226	0.66 	29.34 
Human	A	48	ALE	1	F8	7	18	30	1.8	170.4	186	0.81 	29.19 
Human	A	48	SUN+ALE	1	F9	7	19	30	1.85	184.4	202	0.74 	29.26 
Human	A	48	SUN+ALE	1	F10	7	20	30	1.84	170.4	195	0.77 	29.23 
Human	A	48	CTRL-DMSO	1	F11	8	1	30	1.89	192.6	204	0.74 	29.26 
Human	A	48	SOR	1	F12	8	2	30	1.82	23.7	31.2	4.81 	25.19 
Human	A	48	SOR+URS	1	G1	8	3	30	1.93	23.2	30	5.00 	25.00 
